Updates,Method,Runtime
10,R 50M,66.418699
10,R 5M,66.418699
10,R TPCC,66.418699
10,R YCSB,66.418699
10,R+DS 50M,66.418699
10,R+DS 5M,66.418699
10,R+DS TPCC,66.418699
10,R+DS YCSB,66.418699
10,R+PS 50M,66.418699
10,R+PS 5M,66.418699
10,R+PS TPCC,66.418699
10,R+PS YCSB,66.418699
10,R+PS+DS 50M,66.418699
10,R+PS+DS 5M,66.418699
10,R+PS+DS TPCC,66.418699
10,R+PS+DS YCSB,66.418699
20,R 50M,66.418699
20,R 5M,66.418699
20,R TPCC,66.418699
20,R YCSB,66.418699
20,R+DS 50M,66.418699
20,R+DS 5M,66.418699
20,R+DS TPCC,66.418699
20,R+DS YCSB,66.418699
20,R+PS 50M,66.418699
20,R+PS 5M,66.418699
20,R+PS TPCC,66.418699
20,R+PS YCSB,66.418699
20,R+PS+DS 50M,66.418699
20,R+PS+DS 5M,66.418699
20,R+PS+DS TPCC,66.418699
20,R+PS+DS YCSB,66.418699
50,R 50M,66.418699
50,R 5M,66.418699
50,R TPCC,66.418699
50,R YCSB,66.418699
50,R+DS 50M,66.418699
50,R+DS 5M,66.418699
50,R+DS TPCC,66.418699
50,R+DS YCSB,66.418699
50,R+PS 50M,66.418699
50,R+PS 5M,66.418699
50,R+PS TPCC,66.418699
50,R+PS YCSB,66.418699
50,R+PS+DS 50M,66.418699
50,R+PS+DS 5M,66.418699
50,R+PS+DS TPCC,66.418699
50,R+PS+DS YCSB,66.418699
100,R 50M,66.418699
100,R 5M,66.418699
100,R TPCC,66.418699
100,R YCSB,66.418699
100,R+DS 50M,66.418699
100,R+DS 5M,66.418699
100,R+DS TPCC,66.418699
100,R+DS YCSB,66.418699
100,R+PS 50M,66.418699
100,R+PS 5M,66.418699
100,R+PS TPCC,66.418699
100,R+PS YCSB,66.418699
100,R+PS+DS 50M,66.418699
100,R+PS+DS 5M,66.418699
100,R+PS+DS TPCC,66.418699
100,R+PS+DS YCSB,66.418699
200,R 50M,66.418699
200,R 5M,66.418699
200,R TPCC,66.418699
200,R YCSB,66.418699
200,R+DS 50M,66.418699
200,R+DS 5M,66.418699
200,R+DS TPCC,66.418699
200,R+DS YCSB,66.418699
200,R+PS 50M,66.418699
200,R+PS 5M,66.418699
200,R+PS TPCC,66.418699
200,R+PS YCSB,66.418699
200,R+PS+DS 50M,66.418699
200,R+PS+DS 5M,66.418699
200,R+PS+DS TPCC,66.418699
200,R+PS+DS YCSB,66.418699
